,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour
2022-09-09 02:00:00+00:00,0.0,11.6,3.1,7,0,4,2,False,0.0
2022-09-09 03:00:00+00:00,0.0,11.4,2.9,7,3,4,3,False,0.0
2022-09-09 04:00:00+00:00,0.0,11.2,3.4,7,13,4,4,False,3.0
2022-09-09 05:00:00+00:00,0.0,11.0,3.8,7,69,4,5,False,13.0
2022-09-09 06:00:00+00:00,0.0,10.6,4.1,7,48,4,6,False,69.0
2022-09-09 07:00:00+00:00,0.0,11.5,4.5,7,18,4,7,False,48.0
2022-09-09 08:00:00+00:00,0.0,11.5,4.1,7,15,4,8,False,18.0
2022-09-09 09:00:00+00:00,0.0,11.8,4.4,7,14,4,9,False,15.0
2022-09-09 10:00:00+00:00,0.0,12.4,4.4,7,11,4,10,False,14.0
2022-09-09 11:00:00+00:00,0.0,13.0,4.8,7,12,4,11,False,11.0
2022-09-09 12:00:00+00:00,0.0,13.4,4,7,13,4,12,False,12.0
2022-09-09 13:00:00+00:00,0.0,13.6,4.6,7,28,4,13,False,13.0
2022-09-09 14:00:00+00:00,0.0,15.0,5.2,7,38,4,14,False,28.0
2022-09-09 15:00:00+00:00,0.0,15.6,5.7,7,47,4,15,False,38.0
2022-09-09 16:00:00+00:00,0.0,15.1,5,5,33,4,16,False,47.0
2022-09-09 17:00:00+00:00,0.0,15.0,3.5,5,38,4,17,False,33.0
2022-09-09 18:00:00+00:00,0.0,14.6,3.7,5,18,4,18,False,38.0
2022-09-09 19:00:00+00:00,0.0,13.7,2.7,6,8,4,19,False,18.0
2022-09-09 20:00:00+00:00,0.0,13.4,3.6,6,14,4,20,False,8.0
2022-09-09 21:00:00+00:00,0.0,13.3,3.4,6,7,4,21,False,14.0
2022-09-09 22:00:00+00:00,0.0,13.4,4,6,8,4,22,False,7.0
2022-09-09 23:00:00+00:00,0.0,12.9,3.9,6,0,4,23,False,8.0
2022-09-13 00:00:00+00:00,4.3,14.2,6.2,8,0,1,0,False,0.0
2022-09-13 01:00:00+00:00,2.0,14.2,5.7,8,0,1,1,False,0.0
2022-09-13 02:00:00+00:00,2.4,14.2,4.2,8,0,1,2,False,0.0
2022-09-13 03:00:00+00:00,1.6,13.3,2.7,8,1,1,3,False,0.0
2022-09-13 04:00:00+00:00,0.0,12.8,1.9,8,9,1,4,False,1.0
2022-09-13 05:00:00+00:00,1.4,12.8,2.2,8,40,1,5,False,9.0
2022-09-13 06:00:00+00:00,1.6,13.1,2.1,8,53,1,6,False,40.0
2022-09-13 07:00:00+00:00,1.8,12.6,3.3,7,25,1,7,False,53.0
2022-09-13 08:00:00+00:00,0.0,12.6,2.7,7,17,1,8,False,25.0
2022-09-13 09:00:00+00:00,0.0,12.6,4.3,7,11,1,9,False,17.0
2022-09-13 10:00:00+00:00,0.0,13.0,4.9,6,11,1,10,False,11.0
2022-09-13 11:00:00+00:00,0.0,13.5,5.1,6,9,1,11,False,11.0
2022-09-13 12:00:00+00:00,0.1,11.6,2.1,6,13,1,12,False,9.0
2022-09-13 13:00:00+00:00,0.2,12.1,3.2,7,28,1,13,False,13.0
2022-09-13 14:00:00+00:00,0.0,12.1,0.9,7,45,1,14,False,28.0
2022-09-13 15:00:00+00:00,0.0,12.9,1,7,50,1,15,False,45.0
2022-09-13 16:00:00+00:00,0.0,13.8,1.5,7,47,1,16,False,50.0
2022-09-13 17:00:00+00:00,0.0,14.4,1.5,7,31,1,17,False,47.0
2022-09-13 18:00:00+00:00,0.0,12.9,1.3,7,20,1,18,False,31.0
2022-09-13 19:00:00+00:00,0.0,12.6,1.1,7,16,1,19,False,20.0
