dateTime,availability 0,availability 1,availability 2,availability 3,availability 4,availability 5,availability 6,availability 7,availability 8,availability 9,availability 10,availability 11,availability 12,availability 13,availability 14,availability 15,nedør,temp,vind,hour,count,count_last_hour,isHoliday,weekday,month,Mean_close_count_last_hour
2021-08-17 00:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,15.3,2.9,23,0,0.0,False,1,8,0.0
2021-08-18 01:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,14.0,1.5,0,0,,False,2,8,0.0
2021-08-18 02:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,15.0,3.6,1,0,0.0,False,2,8,0.0
2021-08-18 03:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,15.0,5.6,2,0,0.0,False,2,8,0.0
2021-08-18 04:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,13.3,2.7,3,0,0.0,False,2,8,0.0
2021-08-18 05:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,11.6,0.8,4,0,0.0,False,2,8,0.07142857142857142
2021-08-18 06:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,10.9,1.8,5,0,0.0,False,2,8,0.21428571428571427
2021-08-18 07:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,12.2,1.5,6,0,0.0,False,2,8,0.7857142857142857
2021-08-18 08:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,16.4,0.9,7,0,0.0,False,2,8,1.8571428571428572
2021-08-18 09:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,18.4,3.1,8,0,0.0,False,2,8,0.7142857142857143
2021-08-18 10:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,17.9,4.7,9,2,0.0,False,2,8,1.5714285714285714
2021-08-18 11:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,18.0,4.3,10,0,2.0,False,2,8,0.7142857142857143
2021-08-18 12:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,18.6,2.4,11,0,0.0,False,2,8,1.5
2021-08-18 13:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,18.6,2.3,12,0,0.0,False,2,8,1.2857142857142858
2021-08-18 14:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,18.4,3.5,13,1,0.0,False,2,8,1.2857142857142858
2021-08-18 15:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,18.4,2.9,14,2,1.0,False,2,8,3.0
2021-08-18 16:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,18.7,3.1,15,0,2.0,False,2,8,4.785714285714286
2021-08-18 17:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,18.8,3.3,16,3,0.0,False,2,8,3.7142857142857144
2021-08-18 18:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.6,15.9,3.0,17,0,3.0,False,2,8,1.9285714285714286
2021-08-18 19:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,16.2,3.3,18,0,0.0,False,2,8,1.4285714285714286
2021-08-18 20:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,16.0,2.8,19,0,0.0,False,2,8,1.1428571428571428
2021-08-18 21:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,15.2,2.7,20,0,0.0,False,2,8,1.3571428571428572
2021-08-18 22:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,14.5,1.6,21,0,0.0,False,2,8,0.8571428571428571
