Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,month,bike_availability_576.0,dock_availability_576.0,bike_availability_396.0,dock_availability_396.0,bike_availability_547.0,dock_availability_547.0,bike_availability_478.0,dock_availability_478.0,bike_availability_609.0,dock_availability_609.0,bike_availability_577.0,dock_availability_577.0,num_bikes_available
2021-06-04 15:00:00+00:00,0.0,8.7,3.6,7,1,4,15,False,1.0,6,0.0,0.0,0.7044444444444445,0.7044444444444445,0.7044444444444445,0.7044444444444445,0.7044444444444445,0.7044444444444445,0.0,0.0,0.7044444444444445,0.7044444444444445,39
2021-06-04 16:00:00+00:00,0.0,8.6,4.6,5,0,4,16,False,1.0,6,0.3425,0.7069444444444444,0.6419444444444444,0.5819444444444445,0.5497222222222222,0.3644444444444444,0.4294444444444444,0.125,0.1572222222222222,0.2775,0.7069444444444444,0.7069444444444444,39
2021-06-04 17:00:00+00:00,0.0,6.4,7.5,5,1,4,17,False,0.0,6,0.7911111111111111,0.7911111111111111,0.7119444444444444,0.7911111111111111,0.4202777777777777,0.6236111111111111,0.2630555555555555,0.3736111111111111,0.0,0.1702777777777777,0.5547222222222222,0.3708333333333333,27
2021-06-04 18:00:00+00:00,0.0,2.7,5.1,5,0,4,18,False,1.0,6,0.7913888888888889,0.7913888888888889,0.7913888888888889,0.7913888888888889,0.3752777777777777,0.0,0.3913888888888889,0.3752777777777777,0.3969444444444444,0.1358333333333333,0.416111111111111,0.7913888888888889,33
2021-06-04 19:00:00+00:00,0.0,2.8,4.9,7,0,4,19,False,0.0,6,0.4191666666666667,0.1683333333333333,0.7777777777777778,0.7777777777777778,0.0,0.0,0.0,0.0,0.4191666666666667,0.2180555555555555,0.7777777777777778,0.7777777777777778,34
2021-06-04 20:00:00+00:00,0.0,2.4,2.1,7,0,4,20,False,0.0,6,0.0,0.0,0.3413888888888889,0.0,0.0,0.0,0.2458333333333333,0.5872222222222222,0.3413888888888889,0.0,0.5872222222222222,0.5872222222222222,35
2021-06-04 21:00:00+00:00,0.0,2.7,2.0,7,1,4,21,False,0.0,6,0.0,0.0,0.41,0.5472222222222222,0.0,0.3830555555555555,0.0266666666666666,0.3830555555555555,0.0,0.0,0.9605555555555556,0.9605555555555556,36
2021-06-04 22:00:00+00:00,0.0,2.3,1.3,2,0,4,22,False,1.0,6,0.0,0.0,0.4855555555555556,0.4852777777777778,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.0,0.0,0.5733333333333334,0.5733333333333334,37
2021-06-04 23:00:00+00:00,0.0,1.1,1.2,2,0,4,23,False,0.0,6,0.0,0.0,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.0,0.0,0.4722222222222222,0.4722222222222222,37
2021-06-05 00:00:00+00:00,0.0,2.4,5.6,8,0,5,0,False,0.0,6,0.0,0.0,0.4983333333333333,0.4983333333333333,0.4983333333333333,0.4983333333333333,0.4983333333333333,0.4983333333333333,0.0786111111111111,0.1169444444444444,0.4983333333333333,0.4983333333333333,36
2021-06-05 01:00:00+00:00,0.0,2.4,6.6,8,0,5,1,False,0.0,6,0.0,0.0,0.7583333333333334,0.7583333333333334,0.7583333333333334,0.7583333333333334,0.7583333333333334,0.7583333333333334,0.7583333333333334,0.7583333333333334,0.7583333333333334,0.7583333333333334,36
2021-06-05 02:00:00+00:00,0.0,2.8,8.3,8,0,5,2,False,0.0,6,0.0,0.0,0.7719444444444445,0.7719444444444445,0.7719444444444445,0.7719444444444445,0.7719444444444445,0.7719444444444445,0.7719444444444445,0.7719444444444445,0.7719444444444445,0.7719444444444445,36
2021-06-05 03:00:00+00:00,0.0,2.3,7.0,8,1,5,3,False,0.0,6,0.0,0.0,0.9344444444444444,0.9344444444444444,0.9344444444444444,0.9344444444444444,0.9344444444444444,0.9344444444444444,0.9344444444444444,0.9344444444444444,0.9344444444444444,0.9344444444444444,36
2021-06-05 04:00:00+00:00,0.0,2.4,7.0,8,0,5,4,False,1.0,6,0.0,0.0,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,36
2021-06-05 05:00:00+00:00,0.0,2.4,6.2,8,0,5,5,False,0.0,6,0.0,0.0,0.8786111111111111,0.8786111111111111,0.8786111111111111,0.8786111111111111,0.8786111111111111,0.8786111111111111,0.8786111111111111,0.8786111111111111,0.8786111111111111,0.8786111111111111,36
2021-06-05 06:00:00+00:00,0.0,2.2,5.0,8,0,5,6,False,0.0,6,0.0,0.0,0.9941666666666666,0.9941666666666666,0.9941666666666666,0.9941666666666666,0.9941666666666666,0.9941666666666666,0.9941666666666666,0.9941666666666666,0.9941666666666666,0.9941666666666666,35
2021-06-05 07:00:00+00:00,0.0,3.4,5.5,6,0,5,7,False,0.0,6,0.0,0.0,0.8405555555555557,0.8405555555555557,0.8405555555555557,0.8405555555555557,0.8405555555555557,0.8405555555555557,0.8405555555555557,0.8405555555555557,0.8405555555555557,0.8405555555555557,35
2021-06-05 08:00:00+00:00,0.0,4.6,5.8,6,0,5,8,False,0.0,6,0.0,0.0,0.5041666666666667,0.2533333333333333,0.841388888888889,0.841388888888889,0.7941666666666667,0.5041666666666667,0.7941666666666667,0.5041666666666667,0.841388888888889,0.841388888888889,35
2021-06-05 09:00:00+00:00,0.0,6.1,4.9,6,0,5,9,False,0.0,6,0.0630555555555555,0.5816666666666667,0.0,0.0630555555555555,0.8941666666666667,0.8941666666666667,0.0,0.0,0.0,0.0,0.8941666666666667,0.8941666666666667,35
2021-06-05 10:00:00+00:00,0.0,7.0,5.8,4,0,5,10,False,0.0,6,0.898888888888889,0.898888888888889,0.898888888888889,0.898888888888889,0.898888888888889,0.898888888888889,0.0,0.0,0.1283333333333333,0.5825,0.898888888888889,0.3375,36
2021-06-05 11:00:00+00:00,0.0,6.7,4.9,4,2,5,11,False,0.0,6,0.4841666666666666,0.8683333333333334,0.9991666666666666,0.9991666666666666,0.9991666666666666,0.9991666666666666,0.0,0.515,0.0572222222222222,0.0,0.768888888888889,0.7744444444444445,39
2021-06-05 12:00:00+00:00,0.0,8.2,5.2,4,0,5,12,False,2.0,6,0.3266666666666666,0.1013888888888888,0.91,0.7444444444444445,0.996388888888889,0.996388888888889,0.91,0.7444444444444445,0.0,0.0,0.996388888888889,0.996388888888889,30
2021-06-05 13:00:00+00:00,0.1,9.4,3.1,6,0,5,13,False,0.0,6,0.0,0.0,0.9872222222222222,0.9872222222222222,0.2408333333333333,0.1669444444444444,0.2638888888888889,0.3077777777777778,0.0,0.0,0.5861111111111111,0.3522222222222222,30
2021-06-05 14:00:00+00:00,0.0,10.2,2.3,6,3,5,14,False,0.0,6,0.0,0.0,0.6338888888888888,0.4780555555555555,0.0,0.0,0.2897222222222222,0.4461111111111111,0.0377777777777777,0.1344444444444444,0.4786111111111111,0.6983333333333334,39
2021-06-05 15:00:00+00:00,0.1,9.0,3.6,6,1,5,15,False,3.0,6,0.3527777777777777,0.3688888888888889,0.3947222222222222,0.7374999999999999,0.0,0.0,0.0419444444444444,0.3686111111111111,0.0,0.0,0.7527777777777778,0.7527777777777778,39
2021-06-05 16:00:00+00:00,0.0,8.9,2.4,5,0,5,16,False,1.0,6,0.7397222222222222,0.7561111111111111,0.7561111111111111,0.7561111111111111,0.0,0.0,0.1022222222222222,0.3580555555555555,0.0,0.0,0.7561111111111111,0.7561111111111111,39
2021-06-05 17:00:00+00:00,0.0,9.2,1.6,5,0,5,17,False,0.0,6,0.8822222222222221,0.8822222222222221,0.8822222222222221,0.8822222222222221,0.4797222222222221,0.7155555555555555,0.0963888888888888,0.3116666666666666,0.2630555555555555,0.4080555555555555,0.8822222222222221,0.8822222222222221,38
2021-06-05 18:00:00+00:00,0.0,9.0,3.5,5,0,5,18,False,0.0,6,0.7233333333333333,0.4763888888888888,0.9544444444444444,0.9544444444444444,0.0,0.0,0.9544444444444444,0.9544444444444444,0.9544444444444444,0.9544444444444444,0.9544444444444444,0.9544444444444444,39
2021-06-05 19:00:00+00:00,0.0,9.1,2.7,6,0,5,19,False,0.0,6,0.0,0.0,0.9697222222222222,0.9697222222222222,0.0,0.0,0.9697222222222222,0.9697222222222222,0.9697222222222222,0.9697222222222222,0.9697222222222222,0.9697222222222222,39
2021-06-05 20:00:00+00:00,0.0,7.0,2.7,6,0,5,20,False,0.0,6,0.4469444444444445,0.7144444444444444,0.9736111111111112,0.9736111111111112,0.0,0.0,0.9736111111111112,0.9736111111111112,0.9736111111111112,0.9736111111111112,0.9736111111111112,0.9736111111111112,39
2021-06-05 21:00:00+00:00,0.1,5.7,3.2,6,1,5,21,False,0.0,6,0.9763888888888888,0.9763888888888888,0.9763888888888888,0.9763888888888888,0.7280555555555556,0.9763888888888888,0.9763888888888888,0.9763888888888888,0.9763888888888888,0.9763888888888888,0.9763888888888888,0.9763888888888888,39
2021-06-05 22:00:00+00:00,0.1,4.9,4.3,6,0,5,22,False,1.0,6,0.9838888888888888,0.9838888888888888,0.9838888888888888,0.9838888888888888,0.9838888888888888,0.9838888888888888,0.9838888888888888,0.9838888888888888,0.9838888888888888,0.9838888888888888,0.9838888888888888,0.9838888888888888,39
2021-06-05 23:00:00+00:00,0.0,5.2,3.9,6,0,5,23,False,0.0,6,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8541666666666666,39
2021-06-06 00:00:00+00:00,0.0,16.6,0.4,6,0,6,0,False,0.0,6,0.6213888888888889,0.0161111111111111,0.8811111111111112,0.8811111111111112,0.8811111111111112,0.8811111111111112,0.8811111111111112,0.8811111111111112,0.8811111111111112,0.8811111111111112,0.8811111111111112,0.8811111111111112,38
