Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,month,bike_availability_396.0,dock_availability_396.0,bike_availability_549.0,dock_availability_549.0,bike_availability_477.0,dock_availability_477.0
2021-06-28 14:00:00+00:00,0.0,20.4,2.9,7,5,0,14,False,1.0,6,0.9838888888888888,0.9838888888888888,0.9838888888888888,0.9838888888888888,0.2297222222222222,0.4613888888888888
2021-06-28 15:00:00+00:00,0.0,19.1,2.8,7,2,0,15,False,5.0,6,0.9897222222222224,0.9897222222222224,0.9897222222222224,0.9897222222222224,0.9897222222222224,0.9897222222222224
2021-06-28 16:00:00+00:00,0.0,20.3,3.3,3,2,0,16,False,2.0,6,0.9836111111111112,0.9836111111111112,0.9836111111111112,0.9836111111111112,0.9836111111111112,0.9836111111111112
2021-06-28 17:00:00+00:00,0.0,20.1,2.2,3,2,0,17,False,2.0,6,0.9894444444444443,0.9894444444444443,0.9894444444444443,0.9894444444444443,0.9894444444444443,0.9894444444444443
2021-06-28 18:00:00+00:00,0.0,20.5,2.3,3,1,0,18,False,2.0,6,0.9880555555555556,0.9880555555555556,0.9880555555555556,0.9880555555555556,0.9880555555555556,0.9880555555555556
2021-06-28 19:00:00+00:00,0.0,19.3,3.4,2,3,0,19,False,1.0,6,0.9897222222222222,0.9897222222222222,0.9897222222222222,0.9897222222222222,0.9897222222222222,0.9897222222222222
2021-06-28 20:00:00+00:00,0.0,17.7,2.6,2,7,0,20,False,3.0,6,0.3261111111111111,0.3261111111111111,0.3261111111111111,0.3261111111111111,0.3261111111111111,0.3261111111111111
2021-06-28 21:00:00+00:00,0.0,15.7,4.1,2,2,0,21,False,7.0,6,0.997777777777778,0.997777777777778,0.997777777777778,0.997777777777778,0.997777777777778,0.997777777777778
2021-06-28 22:00:00+00:00,0.0,14.6,4.0,3,0,0,22,False,2.0,6,0.6530555555555555,0.6530555555555555,0.6530555555555555,0.6530555555555555,0.6530555555555555,0.6530555555555555
2021-06-28 23:00:00+00:00,0.0,14.8,1.8,3,0,0,23,False,0.0,6,0.4477777777777778,0.4477777777777778,0.4477777777777778,0.4477777777777778,0.4477777777777778,0.4477777777777778
